x,y
-0.401649,-0.315162
-0.274901,-0.430542
-0.378369,-0.309668
-0.360262,-0.470834
-0.414583,-0.381094
-0.316288,-0.323403
-0.391302,-0.368274
-0.285248,-0.335308
-0.453383,-0.306005
-0.280074,-0.320656
-0.448210,-0.410397
-0.399062,-0.357285
-0.368022,-0.403071
-0.331808,-0.430542
-0.282661,-0.597203
-0.217994,-0.483654
-0.194713,-0.392082
-0.321462,-0.352706
-0.368022,-0.417722
-0.189540,-0.458014
-0.078312,-0.428711
-0.186953,-0.132018
-0.108059,0.418329
-0.693946,1.800149
-0.947442,3.223176
-2.398578,4.298230
-2.618447,5.358633
-2.993518,4.648035
-0.515464,3.165486
1.305570,0.926553
2.159179,0.034643
1.843602,-1.652112
0.358839,-1.124657
-0.794827,-1.454316
-0.369315,-2.124622
0.726150,-2.415821
0.221744,-2.670391
-0.355089,-3.329709
-0.903468,-3.069644
-1.012109,-2.406664
-0.988829,-1.025760
-1.069016,-0.512957
-1.780358,-0.089895
-1.281125,0.345987
-0.435276,0.655500
1.217622,0.974170
2.966228,0.490671
3.173164,-0.503800
3.152470,0.021823
3.760343,0.699455
3.814664,0.745241
3.570221,0.525468
1.859122,-0.359116
0.395053,-1.406699
0.198464,-0.860930
-0.280074,-0.501969
-0.779307,0.065777
-0.743093,0.272730
-0.574958,0.362470
-0.562024,0.248921
-2.129561,-0.110041
-3.109919,0.267235
-2.696048,0.834981
-1.503581,0.928384
-1.040563,0.366133
-2.119215,-0.575226
-1.524275,-0.545923
-0.166260,0.406425
-0.671959,-0.028542
0.097583,-0.560575
0.775297,0.140866
0.141557,0.291044
-0.034338,0.001677
0.433853,-0.066086
0.625269,0.325841
0.195877,0.144529
0.237265,0.428402
0.470067,-0.119198
0.234678,-0.106378
0.234678,-0.031289
-0.303355,0.411919
0.444200,-0.263882
0.405400,-0.249230
0.389880,0.014497
0.208811,0.375290
0.148024,0.041053
0.167424,0.029148
-0.155913,0.151855
0.172597,0.029148
0.320039,-0.119198
0.040676,0.285550
0.109223,0.129878
0.301932,-0.243736
0.043262,0.107900
0.229505,0.181158
0.206224,-0.210770
0.001875,-0.265713
0.087236,0.217787
0.195877,-0.053266
0.063956,-0.080738
0.126037,0.056620
-0.016232,0.501659
0.221744,-0.058761
0.219158,0.184821
0.043262,0.234270
0.162250,0.054789
0.428680,-0.223590
0.045849,0.027317
0.093703,0.082260
0.190704,-0.144838
0.366599,-0.100884
0.027742,0.305696
-0.179193,0.188484
0.071716,0.153686
0.216571,0.052957
-0.091246,0.256247
0.107930,0.027317
0.364013,-0.077075
0.066543,-0.029458
0.261838,0.047463
-0.186953,0.135372
0.038089,0.113395
0.040676,-0.095389
0.270892,0.027317
0.007049,0.036474
-0.009765,0.120720
0.051023,-0.027626
0.151904,-0.069749
0.022569,-0.124692
0.014809,0.082260
0.239851,0.023654
0.021276,-0.013890
0.462307,0.009003
0.185531,0.076766
-0.101592,0.045631
0.027742,0.029148
0.138970,0.063946
0.075596,0.076766
0.224331,-0.122861
0.283825,-0.051435
-0.055032,0.124383
-0.016232,0.157349
0.120863,-0.062423
0.012222,-0.223590
0.188117,-0.045940
0.035502,0.027317
0.092410,0.021823
0.040676,-0.084401
0.114397,-0.042278
0.180357,0.186652
0.387293,-0.011143
0.053609,0.182989
-0.018818,0.140866
0.299345,0.107900
0.067836,0.048379
0.058783,-0.014806
0.226918,-0.040446
0.084650,-0.091726
0.299345,-0.143007
0.039382,0.059367
